timestamp,open,high,low,close,volume
2025-01-14,234.75,236.12,232.47,233.28,39435300
2025-01-13,233.53,234.67,229.72,234.40,49630700
2025-01-10,240.01,240.16,233.00,236.85,61710900
2025-01-08,241.92,243.71,240.05,242.70,37628900
2025-01-07,242.98,245.55,241.35,242.21,40856000
2025-01-06,244.31,247.33,243.20,245.00,45045600
2025-01-03,243.36,244.18,241.89,243.36,40244100
2025-01-02,248.93,249.10,241.82,243.85,55740700
2024-12-31,252.44,253.28,249.43,250.42,39480700
2024-12-30,252.23,253.50,250.75,252.20,35557500
2024-12-27,257.83,258.70,253.06,255.59,42355300
2024-12-26,258.19,260.10,257.63,259.02,27237100
2024-12-24,255.49,258.21,255.29,258.20,23234700
2024-12-23,254.77,255.65,253.45,255.27,40858800
2024-12-20,248.04,255.00,245.69,254.49,147495300
2024-12-19,247.50,252.00,247.09,249.79,60882300
2024-12-18,252.16,254.28,247.74,248.05,56774100
2024-12-17,250.08,253.83,249.78,253.48,51356400
2024-12-16,247.99,251.38,247.65,251.04,51694800
2024-12-13,247.82,249.29,246.24,248.13,33155300
2024-12-12,246.89,248.74,245.68,247.96,32777500
2024-12-11,247.96,250.80,246.26,246.49,45205800
2024-12-10,246.89,248.21,245.34,247.77,36914800
2024-12-09,241.83,247.24,241.75,246.75,44649200
2024-12-06,242.91,244.63,242.08,242.84,36870600
2024-12-05,243.99,244.54,242.13,243.04,40033900
2024-12-04,242.87,244.11,241.25,243.01,44383900
2024-12-03,239.81,242.76,238.90,242.65,38861000
2024-12-02,237.27,240.79,237.16,239.59,48137100
2024-11-29,234.81,237.81,233.97,237.33,28481400
2024-11-27,234.47,235.69,233.81,234.93,33498400
2024-11-26,233.33,235.57,233.33,235.06,45986200
2024-11-25,231.46,233.25,229.74,232.87,90152800
2024-11-22,228.06,230.72,228.06,229.87,38168300
2024-11-21,228.88,230.16,225.71,228.52,42108300
2024-11-20,228.06,229.93,225.89,229.00,35169600
2024-11-19,226.98,230.16,226.66,228.28,36211800
2024-11-18,225.25,229.74,225.17,228.02,44633700
2024-11-15,226.40,226.92,224.27,225.00,47923700
2024-11-14,225.02,228.87,225.00,228.22,44923900
2024-11-13,224.01,226.65,222.76,225.12,48566200
2024-11-12,224.55,225.59,223.36,224.23,40398300
2024-11-11,225.00,225.70,221.50,224.23,42005600
2024-11-08,227.17,228.66,226.41,226.96,38328800
2024-11-07,224.63,227.88,224.57,227.48,42137700
2024-11-06,222.61,226.07,221.19,222.72,54561100
2024-11-05,221.80,223.95,221.14,223.45,28111300
2024-11-04,220.99,222.79,219.71,222.01,44944500
2024-11-01,220.97,225.35,220.27,222.91,65276700
2024-10-31,229.34,229.83,225.37,225.91,64370100
2024-10-30,232.61,233.47,229.55,230.10,47070900
2024-10-29,233.10,234.33,232.32,233.67,35417200
2024-10-28,233.32,234.73,232.55,233.40,36087100
2024-10-25,229.74,233.22,229.57,231.41,38802300
2024-10-24,229.98,230.82,228.41,230.57,31109500
2024-10-23,234.08,235.14,227.76,230.76,52287000
2024-10-22,233.89,236.22,232.60,235.86,38846600
2024-10-21,234.45,236.85,234.45,236.48,36254500
2024-10-18,236.18,236.18,234.01,235.00,46431500
2024-10-17,233.43,233.85,230.52,232.15,32993800
2024-10-16,231.60,232.12,229.84,231.78,34082200
2024-10-15,233.61,237.49,232.37,233.85,64751400
2024-10-14,228.70,231.73,228.60,231.30,39882100
2024-10-11,229.30,229.41,227.34,227.55,31759200
2024-10-10,227.78,229.50,227.17,229.04,28183500
2024-10-09,225.23,229.75,224.83,229.54,33591100
2024-10-08,224.30,225.98,223.25,225.77,31855700
2024-10-07,224.50,225.69,221.33,221.69,39505400
2024-10-04,227.90,228.00,224.13,226.80,37245100
2024-10-03,225.14,226.81,223.32,225.67,34044200
2024-10-02,225.89,227.37,223.02,226.78,32880600
2024-10-01,229.52,229.65,223.74,226.21,63285000
2024-09-30,230.04,233.00,229.65,233.00,54541900
2024-09-27,228.46,229.52,227.30,227.79,34026000
2024-09-26,227.30,228.50,225.41,227.52,36636700
2024-09-25,224.93,227.29,224.02,226.37,42308700
2024-09-24,228.65,229.35,225.73,227.37,43556100
2024-09-23,227.34,229.45,225.81,226.47,54146000
2024-09-20,229.97,233.09,227.62,228.20,318679900
2024-09-19,224.99,229.82,224.63,228.87,66781300
2024-09-18,217.55,222.71,217.54,220.69,59894900
2024-09-17,215.75,216.90,214.50,216.79,45519300
2024-09-16,216.54,217.22,213.92,216.32,59357400
2024-09-13,223.58,224.04,221.91,222.50,36766600
2024-09-12,222.50,223.55,219.82,222.77,37455600
2024-09-11,221.46,223.09,217.89,222.66,44587100
2024-09-10,218.92,221.48,216.73,220.11,51591000
2024-09-09,220.82,221.27,216.71,220.91,67180000
2024-09-06,223.95,225.24,219.77,220.82,48423000
2024-09-05,221.63,225.48,221.52,222.38,36615400
2024-09-04,221.66,221.78,217.48,220.85,43840200
2024-09-03,228.55,229.00,221.17,222.77,50190600
2024-08-30,230.19,230.40,227.48,229.00,52990800
2024-08-29,230.10,232.92,228.88,229.79,51906300
2024-08-28,227.92,229.86,225.68,226.49,38052200
2024-08-27,226.00,228.85,224.89,228.03,35934600
2024-08-26,226.76,227.28,223.89,227.18,30602200
2024-08-23,225.66,228.22,224.33,226.84,38677300
2024-08-22,227.79,228.34,223.90,224.53,43695300
2024-08-21,226.52,227.98,225.05,226.40,34765500
2024-08-20,225.77,227.17,225.45,226.51,30299000
2024-08-19,225.72,225.99,223.04,225.89,40687800
2024-08-16,223.92,226.83,223.65,226.05,44340200
2024-08-15,224.60,225.35,222.76,224.72,46414000
2024-08-14,220.57,223.03,219.70,221.72,41960600
2024-08-13,219.01,221.89,219.01,221.27,44155300
2024-08-12,216.07,219.51,215.60,217.53,38028100
2024-08-09,212.10,216.78,211.97,216.24,42201600
